Macrotrends Data Download

Auckland, New Zealand Metro Area Population 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,319000
1951-12-31,332000,4.08
1952-12-31,345000,3.92
1953-12-31,358000,3.77
1954-12-31,372000,3.91
1955-12-31,387000,4.03
1956-12-31,401000,3.62
1957-12-31,411000,2.49
1958-12-31,420000,2.19
1959-12-31,430000,2.38
1960-12-31,440000,2.33
1961-12-31,452000,2.73
1962-12-31,471000,4.2
1963-12-31,490000,4.03
1964-12-31,511000,4.29
1965-12-31,532000,4.11
1966-12-31,553000,3.95
1967-12-31,573000,3.62
1968-12-31,593000,3.49
1969-12-31,613000,3.37
1970-12-31,635000,3.59
1971-12-31,656000,3.31
1972-12-31,673000,2.59
1973-12-31,691000,2.67
1974-12-31,710000,2.75
1975-12-31,729000,2.68
1976-12-31,745000,2.19
1977-12-31,752000,0.94
1978-12-31,759000,0.93
1979-12-31,766000,0.92
1980-12-31,774000,1.04
1981-12-31,781000,0.9
1982-12-31,789000,1.02
1983-12-31,796000,0.89
1984-12-31,804000,1.01
1985-12-31,812000,1
1986-12-31,821000,1.11
1987-12-31,833000,1.46
1988-12-31,845000,1.44
1989-12-31,857000,1.42
1990-12-31,870000,1.52
1991-12-31,887000,1.95
1992-12-31,915000,3.16
1993-12-31,944000,3.17
1994-12-31,973000,3.07
1995-12-31,1004000,3.19
1996-12-31,1036000,3.19
1997-12-31,1054000,1.74
1998-12-31,1072000,1.71
1999-12-31,1091000,1.77
2000-12-31,1110000,1.74
2001-12-31,1130000,1.8
2002-12-31,1157000,2.39
2003-12-31,1185000,2.42
2004-12-31,1214000,2.45
2005-12-31,1243000,2.39
2006-12-31,1273000,2.41
2007-12-31,1288000,1.18
2008-12-31,1304000,1.24
2009-12-31,1319000,1.15
2010-12-31,1335000,1.21
2011-12-31,1351000,1.2
2012-12-31,1379000,2.07
2013-12-31,1407000,2.03
2014-12-31,1436000,2.06
2015-12-31,1465000,2.02
2016-12-31,1495000,2.05
2017-12-31,1526000,2.07
2018-12-31,1557000,2.03
2019-12-31,1582000,1.61
2020-12-31,1607000,1.58
2021-12-31,1630000,1.43
2022-12-31,1652000,1.35
2023-12-31,1673000,1.27
2024-12-31,1693000,1.2
2025-12-31,1711000,1.06
2026-12-31,1728000,0.99
2027-12-31,1745000,0.98
2028-12-31,1761000,0.92
2029-12-31,1776000,0.85
2030-12-31,1791000,0.84
2031-12-31,1806000,0.84
2032-12-31,1820000,0.78
2033-12-31,1834000,0.77
2034-12-31,1848000,0.76
2035-12-31,1861000,0.7
