date,isHoliday,SA22023_V1_00_Filled,SA22023_V1_00_NAME,SA22023_V1_00_NAME_ASCII,SA32023_V1_00,SA32023_V1_00_NAME,SA32023_V1_00_NAME_ASCII,weatherA,weatherB,partOfDay,Traffic Count,Population
2024-05-28,0,117900,Waiake,Waiake,50670,Torbay-Waiake,Torbay-Waiake,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,117900,Waiake,Waiake,50670,Torbay-Waiake,Torbay-Waiake,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,163200,Papakura Central,Papakura Central,52200,Papakura,Papakura,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,163200,Papakura Central,Papakura Central,52200,Papakura,Papakura,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,155701,Ōtara South West,Otara South West,51980,Ōtara,Otara,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,155701,Ōtara South West,Otara South West,51980,Ōtara,Otara,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,116900,Fairview Heights,Fairview Heights,50680,Fairview Heights,Fairview Heights,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,116900,Fairview Heights,Fairview Heights,50680,Fairview Heights,Fairview Heights,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,162300,Ardmore,Ardmore,51970,Franklin Central,Franklin Central,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,162300,Ardmore,Ardmore,51970,Franklin Central,Franklin Central,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,160901,Manurewa West,Manurewa West,52100,Manurewa,Manurewa,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,160901,Manurewa West,Manurewa West,52100,Manurewa,Manurewa,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,117800,Oteha West,Oteha West,50700,Oteha ,Oteha ,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,117800,Oteha West,Oteha West,50700,Oteha ,Oteha ,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,150000,Harania North,Harania North,52010,Māngere East,Mangere East,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,150000,Harania North,Harania North,52010,Māngere East,Mangere East,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,126801,Takapuna Central,Takapuna Central,51010,Takapuna,Takapuna,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
