halfYear,isHoliday,partOfDay,weatherA,weatherB,SA2_Name,SA3_Name,trafficCount,population,crashesCount
2018H1,0,Day,Fine,Frost,Armoy,East Tamaki,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Avondale South (Auckland),Avondale (Auckland),4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Belmont (Auckland),Belmont (Auckland),4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Birkenhead North,Birkenhead ,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Coatesville,Coatesville-Riverhead,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Glen Innes East-Wai O Taiki Bay,Glen Innes-Wai O Taiki Bay,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Hatfields Beach,Hatfields Beach,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Manurewa Central,Manurewa,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Mount Wellington North East,Mount Wellington,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Northcote Tuff Crater,Northcote (Auckland),4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Otahuhu South West,Otahuhu,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Penrose,Penrose,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Sunnynook South,Sunnynook ,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Sylvia Park,Mount Wellington,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Takanini East,Takanini ,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Tamakae,Waiuku,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Frost,Unsworth Heights East,Unsworth Heights,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Akoranga,Northcote (Auckland),4994206.6408839775,1533750.0,9
2018H1,0,Day,Fine,Null,Albany Heights,Albany,4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Albany South,Albany,4994206.6408839775,1533750.0,14
2018H1,0,Day,Fine,Null,Albany West,Albany,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Alfriston,Alfriston,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Anselmi Ridge,Pukekohe North East,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Anzac Avenue,Auckland City Centre,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Aorere Central,Mangere East,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Aorere North,Mangere East,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Aorere South East,Papatoetoe,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Aorere South West,Papatoetoe,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Ararimu,Hunua-Ararimu,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Ardmore,Franklin Central,4994206.6408839775,1533750.0,13
2018H1,0,Day,Fine,Null,Armoy,East Tamaki,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Auckland Airport,Mangere ,4994206.6408839775,1533750.0,24
2018H1,0,Day,Fine,Null,Auckland-University,Auckland City Centre,4994206.6408839775,1533750.0,10
2018H1,0,Day,Fine,Null,Avondale Central (Auckland),Avondale (Auckland),4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Avondale North East (Auckland),Avondale (Auckland),4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Avondale North West (Auckland),Avondale (Auckland),4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Avondale Rosebank (Auckland),Avondale (Auckland),4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Avondale South (Auckland),Avondale (Auckland),4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Avondale West (Auckland),Avondale (Auckland),4994206.6408839775,1533750.0,4
