date,weatherA,weatherB,light
2024-05-27,Fine,None,Day
2024-05-27,Fine,None,Night
2024-05-28,Light rain,Strong wind,Day
2024-05-28,Light rain,Strong wind,Night
2024-05-29,Fine,Strong wind,Day
2024-05-29,Fine,Strong wind,Night
2024-05-30,Fine,None,Day
2024-05-30,Fine,None,Night
2024-05-31,Fine,None,Day
2024-05-31,Fine,None,Night
2024-06-01,Mist or Fog,None,Day
2024-06-01,Mist or Fog,None,Night
2024-06-02,Mist or Fog,None,Day
2024-06-02,Mist or Fog,None,Night
2024-06-03,Mist or Fog,None,Night
2024-06-03,Mist or Fog,None,Day
2024-06-04,Light rain,None,Day
2024-06-04,Light rain,None,Night
2024-06-05,Light rain,None,Night
2024-06-05,Light rain,None,Day
2024-06-06,Light rain,None,Night
2024-06-06,Light rain,None,Day
2024-06-07,Fine,None,Night
2024-06-07,Fine,None,Day
2024-06-08,Fine,None,Night
2024-06-08,Fine,None,Day
2024-06-09,Fine,None,Day
2024-06-09,Fine,None,Night
