date,SA22023_V1_00,SA32023_V1_00,weatherA,weatherB,light
2024-05-28,149200,51740,Heavy rain,Strong wind,day
2024-05-28,132400,51150,Heavy rain,Strong wind,night
2024-05-28,164603,51970,Heavy rain,Strong wind,night
2024-05-28,132400,51150,Heavy rain,Strong wind,day
2024-05-28,112401,50500,Heavy rain,Strong wind,day
2024-05-28,145900,51750,Heavy rain,Strong wind,day
2024-05-28,112401,50500,Heavy rain,Strong wind,night
2024-05-28,164602,51970,Heavy rain,Strong wind,day
2024-05-28,119901,50800,Heavy rain,Strong wind,night
2024-05-28,145900,51750,Heavy rain,Strong wind,night
2024-05-28,164602,51970,Heavy rain,Strong wind,night
2024-05-28,150301,51830,Heavy rain,Strong wind,day
2024-05-28,150301,51830,Heavy rain,Strong wind,night
2024-05-28,132501,51360,Heavy rain,Strong wind,day
2024-05-28,132501,51360,Heavy rain,Strong wind,night
2024-05-28,119800,50920,Heavy rain,Strong wind,day
2024-05-28,112500,50470,Heavy rain,Strong wind,night
2024-05-28,128700,51300,Heavy rain,Strong wind,night
2024-05-28,112500,50470,Heavy rain,Strong wind,day
2024-05-28,128700,51300,Heavy rain,Strong wind,day
2024-05-28,164601,51970,Heavy rain,Strong wind,day
2024-05-28,145800,51640,Heavy rain,Strong wind,day
2024-05-28,150302,51830,Heavy rain,Strong wind,night
2024-05-28,132600,51350,Heavy rain,Strong wind,night
2024-05-28,164500,52320,Heavy rain,Strong wind,day
2024-05-28,119800,50920,Heavy rain,Strong wind,night
2024-05-28,121901,50830,Heavy rain,Strong wind,night
2024-05-28,150302,51830,Heavy rain,Strong wind,day
2024-05-28,150200,51960,Heavy rain,Strong wind,night
2024-05-28,128601,51010,Heavy rain,Strong wind,night
2024-05-28,112600,50500,Heavy rain,Strong wind,night
2024-05-28,128601,51010,Heavy rain,Strong wind,day
2024-05-28,164401,52320,Heavy rain,Strong wind,night
2024-05-28,150400,51870,Heavy rain,Strong wind,day
2024-05-28,112600,50500,Heavy rain,Strong wind,day
2024-05-28,150400,51870,Heavy rain,Strong wind,night
2024-05-28,132600,51350,Heavy rain,Strong wind,day
2024-05-28,121901,50830,Heavy rain,Strong wind,day
2024-05-28,164601,51970,Heavy rain,Strong wind,night
2024-05-28,165001,52260,Heavy rain,Strong wind,day
2024-05-28,131600,51380,Heavy rain,Strong wind,day
2024-05-28,129101,51330,Heavy rain,Strong wind,night
2024-05-28,129101,51330,Heavy rain,Strong wind,day
2024-05-28,131600,51380,Heavy rain,Strong wind,night
2024-05-28,129201,51220,Heavy rain,Strong wind,day
2024-05-28,131400,51130,Heavy rain,Strong wind,night
2024-05-28,111602,50470,Heavy rain,Strong wind,night
2024-05-28,111700,50430,Light rain,Strong wind,night
2024-05-28,120203,50910,Heavy rain,Strong wind,night
2024-05-28,131500,51340,Heavy rain,Strong wind,day
2024-05-28,146700,51720,Heavy rain,Strong wind,night
2024-05-28,149300,51670,Heavy rain,Strong wind,day
2024-05-28,120203,50910,Heavy rain,Strong wind,day
2024-05-28,146700,51720,Heavy rain,Strong wind,day
2024-05-28,146600,51710,Heavy rain,Strong wind,day
2024-05-28,120201,50910,Heavy rain,Strong wind,night
2024-05-28,120202,50910,Heavy rain,Strong wind,day
2024-05-28,165400,52280,Heavy rain,Strong wind,day
2024-05-28,146501,51710,Heavy rain,Strong wind,day
2024-05-28,165700,52290,Heavy rain,Strong wind,day
2024-05-28,120202,50910,Heavy rain,Strong wind,night
2024-05-28,111700,50430,Light rain,Strong wind,day
2024-05-28,121500,50830,Heavy rain,Strong wind,day
2024-05-28,121500,50830,Heavy rain,Strong wind,night
2024-05-28,165501,52290,Heavy rain,Strong wind,night
2024-05-28,149400,51620,Heavy rain,Strong wind,night
2024-05-28,163100,52210,Heavy rain,Strong wind,day
2024-05-28,149400,51620,Heavy rain,Strong wind,day
2024-05-28,165501,52290,Heavy rain,Strong wind,day
2024-05-28,111901,50430,Light rain,Strong wind,night
2024-05-28,165400,52280,Heavy rain,Strong wind,night
2024-05-28,131700,51300,Heavy rain,Strong wind,night
2024-05-28,131700,51300,Heavy rain,Strong wind,day
2024-05-28,149500,51710,Heavy rain,Strong wind,night
2024-05-28,111901,50430,Light rain,Strong wind,day
2024-05-28,149500,51710,Heavy rain,Strong wind,day
2024-05-28,165600,52280,Heavy rain,Strong wind,day
2024-05-28,145800,51640,Heavy rain,Strong wind,night
2024-05-28,112200,50460,Heavy rain,Strong wind,night
2024-05-28,121001,50990,Heavy rain,Strong wind,night
2024-05-28,130400,51170,Heavy rain,Strong wind,day
2024-05-28,170201,52460,Heavy rain,Strong wind,day
2024-05-28,110900,50390,Light rain,Strong wind,night
2024-05-28,129700,51160,Heavy rain,Strong wind,day
2024-05-28,170201,52460,Heavy rain,Strong wind,night
2024-05-28,130400,51170,Heavy rain,Strong wind,night
2024-05-28,148300,51280,Heavy rain,Strong wind,day
2024-05-28,170101,52470,Heavy rain,Strong wind,day
2024-05-28,131400,51130,Heavy rain,Strong wind,day
2024-05-28,165700,52290,Heavy rain,Strong wind,night
2024-05-28,149300,51670,Heavy rain,Strong wind,night
2024-05-28,164700,52320,Heavy rain,Strong wind,night
2024-05-28,150101,51830,Heavy rain,Strong wind,night
2024-05-28,120000,50740,Heavy rain,Strong wind,day
2024-05-28,147500,51610,Heavy rain,Strong wind,night
2024-05-28,147500,51610,Heavy rain,Strong wind,day
2024-05-28,130300,51210,Heavy rain,Strong wind,day
2024-05-28,110900,50390,Light rain,Strong wind,day
2024-05-28,147202,51710,Heavy rain,Strong wind,day
2024-05-28,170001,52450,Heavy rain,Strong wind,night
2024-05-28,129700,51160,Heavy rain,Strong wind,night
2024-05-28,121100,51290,Heavy rain,Strong wind,day
2024-05-28,130601,51300,Heavy rain,Strong wind,day
2024-05-28,111200,50410,Heavy rain,Strong wind,night
2024-05-28,130700,51080,Heavy rain,Strong wind,day
2024-05-28,128800,51060,Heavy rain,Strong wind,night
2024-05-28,130700,51080,Heavy rain,Strong wind,night
2024-05-28,147400,51710,Heavy rain,Strong wind,day
2024-05-28,147400,51710,Heavy rain,Strong wind,night
2024-05-28,148300,51280,Heavy rain,Strong wind,night
2024-05-28,129800,51210,Heavy rain,Strong wind,night
2024-05-28,120701,50920,Heavy rain,Strong wind,day
2024-05-28,130300,51210,Heavy rain,Strong wind,night
2024-05-28,148200,51620,Heavy rain,Strong wind,night
2024-05-28,130500,51320,Heavy rain,Strong wind,day
2024-05-28,164500,52320,Heavy rain,Strong wind,night
2024-05-28,121800,50900,Heavy rain,Strong wind,day
2024-05-28,150101,51830,Heavy rain,Strong wind,day
2024-05-28,149800,51790,Heavy rain,Strong wind,day
2024-05-28,146201,51710,Heavy rain,Strong wind,day
2024-05-28,132002,51300,Heavy rain,Strong wind,day
2024-05-28,149800,51790,Heavy rain,Strong wind,night
2024-05-28,150000,52010,Heavy rain,Strong wind,day
2024-05-28,121701,50940,Heavy rain,Strong wind,night
2024-05-28,164900,52320,Heavy rain,Strong wind,night
2024-05-28,164900,52320,Heavy rain,Strong wind,day
2024-05-28,120000,50740,Heavy rain,Strong wind,night
