date,weatherA,weatherB,light
2024-05-28,Heavy rain,Strong wind,Day
2024-05-28,Heavy rain,Strong wind,Night
2024-05-29,Fine,Strong wind,Day
2024-05-29,Fine,Strong wind,Night
2024-05-30,Fine,None,Day
2024-05-30,Fine,None,Night
2024-05-31,Fine,None,Day
2024-05-31,Fine,None,Night
2024-06-01,Fine,None,Day
2024-06-01,Fine,None,Night
2024-06-02,Fine,None,Day
2024-06-02,Fine,None,Night
2024-06-03,Fine,None,Day
2024-06-03,Fine,None,Night
2024-06-04,Mist or Fog,None,Night
2024-06-04,Mist or Fog,None,Day
2024-06-05,Mist or Fog,None,Day
2024-06-05,Mist or Fog,None,Night
2024-06-06,Fine,None,Night
2024-06-06,Fine,None,Day
2024-06-07,Fine,None,Night
2024-06-07,Fine,None,Day
2024-06-08,Fine,None,Night
2024-06-08,Fine,None,Day
2024-06-09,Fine,None,Night
2024-06-09,Fine,None,Day
2024-06-10,Fine,None,Day
2024-06-10,Fine,None,Night
